DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
NO_DIFFICULTY_TAG,10 min Core Strength,10,REBECCA KENNEDY,STRENGTH,Sun 10/13/19 @ 10:05 PM,96.5,4212,6.9,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,"['Medium Weights', 'Workout Mat']"
ADVANCED,20 min Arms & Shoulders Strength,20,REBECCA KENNEDY,STRENGTH,Fri 10/11/19 @ 6:25 PM,98.1,6931,7.9,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
ADVANCED,20 min Core Strength,20,REBECCA KENNEDY,STRENGTH,Fri 10/11/19 @ 6:00 PM,77.1,5363,7.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Glutes & Legs Strength,20,REBECCA KENNEDY,STRENGTH,Thu 10/10/19 @ 8:05 AM,95.5,2527,7,Join us for a glutes and legs workout to tone and strengthen the biggest muscles in your body.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,REBECCA KENNEDY,STRENGTH,Wed 10/9/19 @ 5:55 AM,98.3,2671,7.4,Join us for a high-energy full body strength training workout.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Chest & Back Strength,10,REBECCA KENNEDY,STRENGTH,Mon 10/7/19 @ 6:35 PM,97.6,2407,7.1,Grab your weights and join us for a chest and back workout to tone and strengthen your upper body.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Bodyweight Strength,30,REBECCA KENNEDY,STRENGTH,Mon 10/7/19 @ 6:00 PM,96.7,4371,6.6,Join us for a high-energy bodyweight training workout. You won't need weights for this class!,FALSE,['Workout Mat']
INTERMEDIATE,20 min Full Body Strength,20,REBECCA KENNEDY,STRENGTH,Sun 10/6/19 @ 9:55 PM,92.8,1326,6.7,Join us for a high-energy full body strength training workout.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms & Shoulders Strength,10,REBECCA KENNEDY,STRENGTH,Fri 10/4/19 @ 6:35 PM,98.9,3268,6.8,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Heavy Weights', 'Light Weights', 'Medium Weights', 'Workout Mat']"
BEGINNER,30 min Bodyweight Strength,30,REBECCA KENNEDY,STRENGTH,Thu 10/3/19 @ 7:30 AM,98.3,7339,5.8,Join us for a high-energy bodyweight training workout. You won't need weights for this class!,FALSE,['Workout Mat']
BEGINNER,20 min Chest & Back Strength,20,REBECCA KENNEDY,STRENGTH,Thu 9/26/19 @ 8:05 AM,97.1,3130,6.9,Grab your weights and join us for a chest and back workout to tone and strengthen your upper body.,FALSE,"['Heavy Weights', 'Light Weights', 'Workout Mat']"
INTERMEDIATE,30 min Bodyweight Strength,30,REBECCA KENNEDY,STRENGTH,Wed 9/25/19 @ 5:30 AM,92.3,3924,6.9,Join us for a high-energy bodyweight training workout. You won't need weights for this class!,FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Arms & Shoulders Strength,15,REBECCA KENNEDY,STRENGTH,Mon 9/23/19 @ 9:45 PM,98.4,7188,6.8,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
