DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,20 min Chest & Back Strength,20,ROBIN ARZ?N,STRENGTH,Tue 10/6/20 @ 12:00 AM,99.8,18009,7,Grab your weights and join us for a chest and back workout to tone and strengthen your upper body.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,15 min Core Strength,15,ROBIN ARZ?N,STRENGTH,Wed 9/30/20 @ 10:00 PM,99.3,20421,6.8,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min JLO Core Strength,10,ROBIN ARZ?N,STRENGTH,Tue 9/29/20 @ 10:30 PM,99.6,69166,7.1,Things are heating up. Join Robin ArzÃ³n as she brings the fierce and fiery heat of Jennifer Lopez to this 10-minute core strength class.,FALSE,['Workout Mat']
INTERMEDIATE,20 min Upper Body Strength,20,ROBIN ARZ?N,STRENGTH,Tue 9/29/20 @ 12:35 AM,99.7,24414,6.8,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,ROBIN ARZ?N,STRENGTH,Tue 9/29/20 @ 12:00 AM,98.7,12995,7.7,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ROBIN ARZ?N,STRENGTH,Sat 9/26/20 @ 5:45 AM,99.8,24156,6.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,15 min Upper Body Strength,15,ROBIN ARZ?N,STRENGTH,Wed 9/23/20 @ 10:00 PM,99.8,37225,7.1,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Core Strength,20,ROBIN ARZ?N,STRENGTH,Tue 9/22/20 @ 11:05 PM,99.4,16014,6.8,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Core Strength,15,ROBIN ARZ?N,STRENGTH,Thu 9/17/20 @ 10:00 PM,99.8,40655,7.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Core Strength,10,ROBIN ARZ?N,STRENGTH,Tue 9/15/20 @ 11:15 PM,99.6,33090,6.7,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Wyclef Jean Upper Body Strength,20,ROBIN ARZ?N,STRENGTH,Tue 9/8/20 @ 10:30 PM,99.5,13692,6.9,"Sak Pase! We're doing this one for Ayiti. Grab your towel, lace up and move with Robin to the global sounds of Wyclef Jean.",FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,ROBIN ARZ?N,STRENGTH,Sun 9/6/20 @ 10:00 PM,99.5,56756,6.2,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Lower Body Strength,15,ROBIN ARZ?N,STRENGTH,Sat 8/29/20 @ 10:00 PM,99.3,16701,7,Our lower-body classes are filled with all the hard work of our glutes and legs classes but offer a wider variety of lower-body-focused movements.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Core Strength,10,ROBIN ARZ?N,STRENGTH,Sun 8/23/20 @ 10:00 PM,99.4,47611,6.5,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,30 min Upper Body Strength,30,ROBIN ARZ?N,STRENGTH,Wed 8/19/20 @ 7:00 AM,99.6,39100,7.2,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Lower Body Strength,20,ROBIN ARZ?N,STRENGTH,Tue 8/11/20 @ 11:05 PM,99.6,17812,7.3,Our lower-body classes are filled with all the hard work of our glutes and legs classes but offer a wider variety of lower-body-focused movements.,FALSE,"['Heavy Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,5 min Core Strength,5,ROBIN ARZ?N,STRENGTH,Sat 8/8/20 @ 10:00 PM,99.7,55231,6.3,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms & Shoulders Strength,10,ROBIN ARZ?N,STRENGTH,Sat 8/8/20 @ 10:00 PM,99.8,16637,6.9,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Full Body Strength,20,ROBIN ARZ?N,STRENGTH,Tue 8/4/20 @ 11:05 PM,99.5,25377,7.8,This full-body class is designed to strengthen your muscles through a series of dynamic movements.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ROBIN ARZ?N,STRENGTH,Sat 8/1/20 @ 6:45 AM,99.8,86992,6.6,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
NO_DIFFICULTY_TAG,10 min Core Strength,10,ROBIN ARZ?N,STRENGTH,Wed 7/29/20 @ 10:00 PM,99.8,62865,6.8,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Upper Body Strength,20,ROBIN ARZ?N,STRENGTH,Wed 7/29/20 @ 10:00 PM,99.7,32800,7,"Our upper body classes combine movements that are designed to strengthen your arms, shoulders, chest and back. While our more concentrated classes isolate specific parts of the body, this class offers a broader focus of upper-body strengthening.",FALSE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Bodyweight Strength,20,ROBIN ARZ?N,STRENGTH,Tue 7/28/20 @ 11:05 PM,99.4,11615,6.7,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper- and lower-body strength training. Meet us on the mat.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ROBIN ARZ?N,STRENGTH,Sat 7/18/20 @ 6:45 AM,99.6,48209,6.8,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
INTERMEDIATE,20 min Britney Spears Full Body Strength,20,ROBIN ARZ?N,STRENGTH,Thu 7/16/20 @ 10:30 PM,99.8,37642,7.1,Feel stronger than you were yesterday as you move and groove to the iconic pop sounds of Britney Spears with Robin.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,10 min Arms & Shoulders Strength,10,ROBIN ARZ?N,STRENGTH,Thu 7/9/20 @ 11:05 PM,99.5,27146,6.9,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,30 min All For One Strength,30,ROBIN ARZ?N,STRENGTH,Thu 7/2/20 @ 9:00 PM,99.5,37849,7.2,We're coming together in unity as one team. Join all of your favorite strength instructors for an empowering full-body workout.,TRUE,"['Medium Weights', 'Workout Mat']"
INTERMEDIATE,20 min Core Strength: Live from Home,20,ROBIN ARZ?N,STRENGTH,Mon 6/29/20 @ 11:00 PM,99.3,18773,6.8,"Join us on the floor for a core workout to align, strengthen and tone your lower back and abdominal muscles.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,10 min Arms Toning,10,ROBIN ARZ?N,STRENGTH,Sat 6/27/20 @ 6:45 AM,99.9,62674,7.4,Grab your free weights from the back of the Bike to tone your arms during your workout.,FALSE,['Light Weights']
INTERMEDIATE,20 min Arms & Shoulders Strength,20,ROBIN ARZ?N,STRENGTH,Wed 6/24/20 @ 3:35 AM,99.7,33029,7,Grab your weights and join us for an arm and shoulder workout to tone and strengthen your upper body.,FALSE,"['Light Weights', 'Medium Weights', 'Workout Mat']"
NO_DIFFICULTY_TAG,15 min Bodyweight: Live from Home,15,ROBIN ARZ?N,STRENGTH,Mon 6/22/20 @ 11:00 PM,99.6,10966,6.7,"No equipment, no problem. Join us for a high-energy bodyweight training session. This class will work your full body and will include a mix of upper and lower body strength training. Meet us on the mat.",FALSE,['Workout Mat']
