DIFFICULTY_TAG,CLASS_NAME,LENGTH,INSTRUCTOR,CLASS_TYPE,TIME,RATING,RATING_COUNT,DIFFICULTY_RATING,LONG_DESCRIPTION,WHETHER_TAKEN,EQUIPMENT
INTERMEDIATE,30 min APIHM Bollywood Pilates,30,ADITI SHAH,STRENGTH,Mon 5/24/21 @ 10:00 PM,99,10486,5.9,Celebrate Asian and Pacific Islander Heritage Month in this 30 min Bollywood Pilates.,FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Pilates,15,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,98.1,37845,4.6,"This 15-minute mat Pilates class increases core strength, flexibility and body awareness. Build upon core principles and signature exercises that will leave you feeling aligned and energized.",FALSE,['Workout Mat']
NO_DIFFICULTY_TAG,15 min Intro to Pilates,15,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,95,23125,3.6,Join us for 15 minutes in this core-centered mat class. Learn foundational movements that will set you up for any of our Pilates classes!,FALSE,['Workout Mat']
BEGINNER,30 min Pilates,30,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,98.7,28547,4.7,"This 30-minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",FALSE,['Workout Mat']
INTERMEDIATE,20 min Pilates,20,ADITI SHAH,STRENGTH,Wed 12/16/20 @ 10:00 PM,97.7,34347,5.3,"This 20-minute mat Pilates class increases core strength, flexibility and body awareness. Build strength & stamina with the introduction of longer Pilates flows, progressions and challenging choreography.",FALSE,['Workout Mat']
